"OwnId";"Landuse";"Field";"Plot";"OnFarm";"Irrigate";"Fertilised";"N_Natural";"Bottom";"PH";"PercClay";"PercSilt";"PercSand";"Class";"PercTotNitro";"PercSOC";"PercTotPhos";"BulkDensity";"Lat";"Long"
"1";"Farm NI";"1";"1";1;1;0;1;1;20;5.57;30.32;7.28;62.4;"sandy clay loam";0.2;3.24;0.162052117;0.877353449;-8.360675534;36.1155576
"2";"Farm NI";"1";"1";1;1;0;1;1;30;5.6;28.32;19.28;52.4;"sandy clay loam";0.2;3.017191977;0.25;1.077334146;-8.360675534;36.1155576
"3";"Farm NI";"1";"1";1;1;0;1;1;40;5.77;30.32;15.28;54.4;"sandy clay loam";0.15;1.62034384;0.364820847;1.192024677;-8.360675534;36.1155576
"4";"Farm NI";"1";"1";1;1;0;1;1;50;6.2;30.32;5.28;64.4;"sandy clay loam";0.12;0.50286533;0.33713355;1.346594909;-8.360675534;36.1155576
"5";"Farm NI";"1";"1";1;1;0;1;1;60;6.29;24.32;5.28;70.4;"sandy clay loam";0.08;0.40974212;0.188925081;1.255482889;-8.360675534;36.1155576
"6";"Farm NI";"1";"1";1;1;0;1;1;80;6.49;20.32;9.28;70.4;"sandy clay loam";0.08;0.689111748;0.11237785;1.300311167;-8.360675534;36.1155576
"7";"Farm NI";"1";"2";2;1;0;1;1;20;5.78;18.32;17.28;64.4;"sandy loam";0.14;2.145;0.096091205;1.012857109;-8.373850025;36.13076491
"8";"Farm NI";"1";"2";2;1;0;1;1;30;5.74;26.32;9.28;64.4;"sandy clay loam";0.13;1.404;0.183224756;1.004997606;-8.373850025;36.13076491
"9";"Farm NI";"1";"2";2;1;0;1;1;40;5.91;29.96;15.64;54.4;"sandy clay loam";0.14;1.092;0.214983713;1.038036629;-8.373850025;36.13076491
"10";"Farm NI";"1";"2";2;1;0;1;1;50;6.03;27.96;11.64;60.4;"sandy clay loam";0.1;0.126647564;0.048859935;1.21429327;-8.373850025;36.13076491
"11";"Farm NI";"1";"2";2;1;0;1;1;60;6.14;29.96;13.64;56.4;"sandy clay loam";0.07;0.376217765;0.232899023;1.325345141;-8.373850025;36.13076491
"12";"Farm NI";"1";"2";2;1;0;1;1;80;6.24;29.96;7.64;62.4;"sandy clay loam";0.05;0.163896848;0.029723127;1.532748702;-8.373850025;36.13076491
"13";"Farm NI";"1";"3";3;1;0;1;1;20;5.85;27.96;17.64;54.4;"sandy clay loam";0.18;2.897994269;0.175895765;1.044440669;-8.367445319;36.12465209
"14";"Farm NI";"1";"3";3;1;0;1;1;30;6.1;33.96;15.64;50.4;"sandy clay loam";0.12;3.394444444;0.076140065;1.201339644;-8.367445319;36.12465209
"15";"Farm NI";"1";"3";3;1;0;1;1;40;6.19;35.96;13.64;50.4;"sandy clay";0.09;0.875358166;0.08713355;1.227537988;-8.367445319;36.12465209
"16";"Farm NI";"1";"3";3;1;0;1;1;50;6.32;25.96;11.64;62.4;"sandy clay loam";0.11;0.480515759;0.035830619;1.326946151;-8.367445319;36.12465209
"17";"Farm NI";"1";"3";3;1;0;1;1;60;6.44;25.96;13.64;60.4;"sandy clay loam";0.11;0.126647564;0.042752443;1.327673883;-8.367445319;36.12465209
