"Risposta","Parametro","M-SP","A (ridotto)","B (resp-spec)","C (projpred)"
"SOC","alpha_SOC","-0.240 [-0.527, 0.049]","-0.116 [-0.221, -0.011]","-0.126 [-0.242, -0.015]","-0.130 [-0.189, -0.073]"
"SOC","psi_SOC","0.323 [0.231, 0.436]","0.332 [0.245, 0.437]","0.363 [0.276, 0.474]","—"
"SOC","eta_SOC","0.209 [0.125, 0.302]","0.214 [0.132, 0.306]","0.207 [0.127, 0.300]","—"
"SOC","sigma_SOC","0.531 [0.486, 0.582]","0.529 [0.486, 0.579]","0.537 [0.493, 0.587]","—"
"SOC","γ_SOC logBottom","-0.378 [-0.472, -0.286]","-0.383 [-0.471, -0.297]","-0.432 [-0.516, -0.347]","-0.447 [-0.507, -0.382]"
"SOC","γ_SOC Texture2","-0.529 [-0.660, -0.397]","-0.494 [-0.594, -0.395]","-0.588 [-0.678, -0.493]","-0.477 [-0.584, -0.358]"
"SOC","γ_SOC BulkDensity","-0.223 [-0.362, -0.084]","-0.189 [-0.286, -0.092]","—","—"
"N","alpha_N","-2.594 [-2.800, -2.381]","-2.438 [-2.504, -2.374]","-2.439 [-2.505, -2.373]","-2.444 [-2.482, -2.410]"
"N","psi_N","0.197 [0.131, 0.274]","0.194 [0.129, 0.268]","0.198 [0.136, 0.269]","—"
"N","eta_N","-0.051 [-0.124, 0.021]","-0.023 [-0.096, 0.050]","— (no eta in B)","—"
"N","sigma_N","0.345 [0.316, 0.378]","0.352 [0.323, 0.386]","0.351 [0.322, 0.385]","—"
"N","γ_N logBottom","-0.202 [-0.253, -0.152]","-0.182 [-0.227, -0.136]","-0.185 [-0.229, -0.142]","-0.199 [-0.251, -0.153]"
"N","γ_N Texture2","-0.288 [-0.370, -0.205]","-0.239 [-0.309, -0.174]","-0.247 [-0.311, -0.182]","-0.237 [-0.314, -0.165]"
"N","γ_N BulkDensity","-0.204 [-0.291, -0.114]","-0.263 [-0.333, -0.187]","-0.255 [-0.324, -0.181]","-0.214 [-0.293, -0.125]"
"P","alpha_P","-2.611 [-2.959, -2.257]","-2.540 [-2.681, -2.404]","-2.563 [-2.725, -2.398]","-2.571 [-2.633, -2.514]"
"P","psi_P","0.392 [0.293, 0.515]","0.474 [0.375, 0.600]","0.568 [0.459, 0.709]","—"
"P","eta_P","0.096 [0.019, 0.179]","0.105 [0.031, 0.185]","0.054 [-0.016, 0.126]","—"
"P","sigma_P","0.548 [0.502, 0.599]","0.547 [0.502, 0.600]","0.550 [0.506, 0.602]","—"
"P","γ_P logBottom","-0.062 [-0.144, 0.021]","-0.033 [-0.112, 0.046]","-0.121 [-0.185, -0.056]","-0.124 [-0.182, -0.065]"
"P","γ_P Texture2","-0.072 [-0.215, 0.070]","-0.129 [-0.250, -0.012]","—","—"
"P","γ_P BulkDensity","-0.150 [-0.297, -0.001]","-0.218 [-0.342, -0.092]","—","—"
