"obs_idx","pareto_k","categoria","Field","Bottom","logSOC","logN","logP","logBottom","Texture2","BulkDensity"
146,1.253,"molto_alto","26",20,1.238,-4.605,-1.966,-1.605,0.228,0.261
175,0.989,"alto","31",60,1.033,-3.507,-4.605,0.943,1.477,0.948
158,0.877,"alto","28",40,-0.083,-4.605,-2.526,0.002,1.583,0.862
134,0.848,"alto","23",50,-1.022,-3.219,-0.083,0.52,0.051,1.206
180,0.802,"alto","32",60,0.554,-2.207,-3.912,0.943,0.63,1.206
183,0.771,"alto","33",40,0.788,-3.507,-3.507,0.002,1.219,0.862
48,0.747,"alto","8",80,0.661,-2.996,-2.347,1.61,0.436,-0.376
185,0.739,"alto","33",60,-2.12,-2.526,-3.507,0.943,1.006,1.149
209,0.714,"alto","38",50,-4.605,-3.912,-3.912,0.52,1.656,1.378
220,0.71,"alto","40",60,-1.309,-2.813,-2.408,0.943,0.751,1.149
166,0.688,"moderato","30",20,-1.561,-2.04,-2.659,-1.605,2,-1.286
216,0.66,"moderato","40",20,-0.386,-3.507,-2.207,-1.605,0.587,-0.312
72,0.634,"moderato","12",80,0.368,-2.303,-4.28,1.61,0.583,-0.732
206,0.617,"moderato","38",20,-0.174,-2.408,-2.813,-1.605,1.711,1.005
205,0.61,"moderato","37",60,-1.204,-2.813,-1.833,0.943,0.781,2.008
150,0.587,"moderato","26",60,0.788,-3.219,-2.659,0.943,0.377,1.636
160,0.585,"moderato","28",60,-0.916,-3.507,-2.303,0.943,-0.18,1.807
18,0.581,"moderato","3",80,-0.28,-1.966,-3.053,1.61,-0.95,-0.175
135,0.573,"moderato","23",60,-1.347,-3.507,-2.526,0.943,-0.028,1.235
10,0.555,"moderato","2",50,-2.066,-2.303,-3.019,0.52,-0.233,-0.414
66,0.554,"moderato","11",80,-0.958,-2.207,-2.083,1.61,2.132,-0.756
133,0.548,"moderato","23",40,-0.223,-2.813,-3.912,0.002,0.254,1.32
211,0.547,"moderato","39",20,0.122,-2.303,-2.659,-1.605,1.5,-0.999
84,0.529,"moderato","14",80,-0.923,-2.996,-3.632,1.61,1.37,0.316
215,0.526,"moderato","39",60,-1.609,-3.912,-2.303,0.943,2.231,1.177
60,0.526,"moderato","10",80,-0.024,-2.207,-2.565,1.61,-0.674,-0.834
145,0.523,"moderato","25",60,-1.05,-3.912,-1.966,0.943,0.73,1.492
103,0.516,"moderato","18",20,1.16,-1.386,-2.75,-1.605,-0.666,-1.494
154,0.506,"moderato","27",50,-1.661,-2.813,-3.507,0.52,1.46,1.292
131,0.503,"moderato","23",20,-1.171,-1.966,-1.427,-1.605,-0.464,0.748
6,0.502,"moderato","1",80,-0.372,-2.526,-2.186,1.61,0.385,-0.168
