"risposta","tipo","parameter","median","ci90","fonte"
"SOC","within-field","logBottom",-0.366367815,"[-0.464, -0.270]","M-SP-RIRS-MVRE (reference)"
"SOC","within-field","Texture1",-0.059936922,"[-0.143, 0.024]","M-SP-RIRS-MVRE (reference)"
"SOC","within-field","Texture2",-0.5032126,"[-0.640, -0.361]","M-SP-RIRS-MVRE (reference)"
"SOC","within-field","BulkDensity",-0.236688675,"[-0.380, -0.085]","M-SP-RIRS-MVRE (reference)"
"SOC","within-field","PH",-0.032172482,"[-0.122, 0.055]","M-SP-RIRS-MVRE (reference)"
"SOC","management","OnFarm",-0.137011565,"[-0.528, 0.274]","M-SP-RIRS-MVRE (reference)"
"SOC","management","Irrigate",0.25965333,"[0.022, 0.496]","M-SP-RIRS-MVRE (reference)"
"SOC","management","Fertilised",0.011305031,"[-0.293, 0.305]","M-SP-RIRS-MVRE (reference)"
"SOC","management","N_Natural",0.011749164,"[-0.392, 0.402]","M-SP-RIRS-MVRE (reference)"
"N","within-field","logBottom",-0.21008927,"[-0.272, -0.148]","M-SP-RIRS-MVRE (reference)"
"N","within-field","Texture1",-0.023866842,"[-0.078, 0.030]","M-SP-RIRS-MVRE (reference)"
"N","within-field","Texture2",-0.283719515,"[-0.371, -0.195]","M-SP-RIRS-MVRE (reference)"
"N","within-field","BulkDensity",-0.178695585,"[-0.270, -0.084]","M-SP-RIRS-MVRE (reference)"
"N","within-field","PH",0.00336125515,"[-0.052, 0.058]","M-SP-RIRS-MVRE (reference)"
"N","management","OnFarm",0.293704295,"[0.037, 0.567]","M-SP-RIRS-MVRE (reference)"
"N","management","Irrigate",-0.14585645,"[-0.303, 0.009]","M-SP-RIRS-MVRE (reference)"
"N","management","Fertilised",-0.11624694,"[-0.316, 0.074]","M-SP-RIRS-MVRE (reference)"
"N","management","N_Natural",0.17551715,"[-0.108, 0.447]","M-SP-RIRS-MVRE (reference)"
"P","within-field","logBottom",-0.0754475335,"[-0.160, 0.010]","M-SP-RIRS-MVRE (reference)"
"P","within-field","Texture1",0.004119073,"[-0.079, 0.088]","M-SP-RIRS-MVRE (reference)"
"P","within-field","Texture2",-0.067608388,"[-0.213, 0.077]","M-SP-RIRS-MVRE (reference)"
"P","within-field","BulkDensity",-0.12238801,"[-0.278, 0.033]","M-SP-RIRS-MVRE (reference)"
"P","within-field","PH",0.015581599,"[-0.074, 0.105]","M-SP-RIRS-MVRE (reference)"
"P","management","OnFarm",0.684207355,"[0.239, 1.129]","M-SP-RIRS-MVRE (reference)"
"P","management","Irrigate",0.404179835,"[0.121, 0.683]","M-SP-RIRS-MVRE (reference)"
"P","management","Fertilised",-0.345853295,"[-0.683, 0.002]","M-SP-RIRS-MVRE (reference)"
"P","management","N_Natural",-0.0957372205,"[-0.555, 0.365]","M-SP-RIRS-MVRE (reference)"
"SOC","random_struct","tau_alpha_SOC",0.32723813,"[0.234, 0.436]","M-SP-RIRS-MVRE (reference)"
"SOC","random_struct","tau_beta_SOC",0.215122555,"[0.106, 0.317]","M-SP-RIRS-MVRE (reference)"
"SOC","random_struct","rho_SOC",0.519199215,"[0.119, 0.795]","M-SP-RIRS-MVRE (reference)"
"N","random_struct","tau_alpha_N",0.21067005,"[0.150, 0.287]","M-SP-RIRS-MVRE (reference)"
"N","random_struct","tau_beta_N",0.14825206,"[0.080, 0.214]","M-SP-RIRS-MVRE (reference)"
"N","random_struct","rho_N",-0.147896095,"[-0.495, 0.235]","M-SP-RIRS-MVRE (reference)"
"P","random_struct","tau_alpha_P",0.39629931,"[0.297, 0.520]","M-SP-RIRS-MVRE (reference)"
"P","random_struct","tau_beta_P",0.085224587,"[0.009, 0.185]","M-SP-RIRS-MVRE (reference)"
"P","random_struct","rho_P",0.294601465,"[-0.291, 0.705]","M-SP-RIRS-MVRE (reference)"
"SOC","lme4_final","logBottom",-0.432662465256821,"[-0.518, -0.347]","lme4 (REML)"
"SOC","lme4_final","Texture2",-0.585612686718515,"[-0.678, -0.493]","lme4 (REML)"
"N","lme4_final","logBottom",-0.184417183103326,"[-0.227, -0.142]","lme4 (REML)"
"N","lme4_final","Texture2",-0.247913791416005,"[-0.312, -0.184]","lme4 (REML)"
"N","lme4_final","BulkDensity",-0.255273367576092,"[-0.324, -0.187]","lme4 (REML)"
"P","lme4_final","logBottom",-0.121931959017997,"[-0.185, -0.059]","lme4 (REML)"
