"Risposta","Parametro","M-SP-RIRS","A (ridotto)","B (resp-spec)"
"SOC","alpha_SOC","-0.230 [-0.543, 0.084]","-0.116 [-0.220, -0.010]","-0.227 [-0.535, 0.094]"
"SOC","tau_alpha_SOC","0.330 [0.237, 0.444]","0.333 [0.246, 0.439]","0.330 [0.236, 0.442]"
"SOC","tau_beta_SOC","0.224 [0.130, 0.323]","0.229 [0.139, 0.326]","0.223 [0.128, 0.321]"
"SOC","rho_SOC","0.676 [0.273, 0.913]","0.731 [0.373, 0.930]","0.678 [0.274, 0.909]"
"SOC","sigma_SOC","0.520 [0.474, 0.575]","0.520 [0.474, 0.575]","0.521 [0.474, 0.575]"
"SOC","γ_SOC logBottom","-0.372 [-0.470, -0.275]","-0.384 [-0.478, -0.292]","—"
"SOC","γ_SOC Texture2","-0.521 [-0.662, -0.381]","-0.486 [-0.592, -0.378]","—"
"SOC","γ_SOC BulkDensity","-0.228 [-0.370, -0.081]","-0.187 [-0.293, -0.084]","—"
"SOC","γ_SOC PH","-0.023 [-0.112, 0.066]","0.003 [-0.085, 0.088]","—"
"N","alpha_N","-2.560 [-2.774, -2.344]","-2.438 [-2.504, -2.374]","-2.584 [-2.800, -2.356]"
"N","tau_alpha_N","0.204 [0.145, 0.278]","0.204 [0.147, 0.272]","0.206 [0.142, 0.282]"
"N","tau_beta_N","0.145 [0.063, 0.217]","0.157 [0.086, 0.222]","— (solo RI in B)"
"N","rho_N","-0.165 [-0.586, 0.281]","-0.041 [-0.446, 0.367]","— (solo RI in B)"
"N","sigma_N","0.318 [0.287, 0.356]","0.317 [0.287, 0.354]","0.346 [0.317, 0.380]"
"N","γ_N logBottom","-0.204 [-0.265, -0.143]","-0.186 [-0.246, -0.127]","—"
"N","γ_N Texture2","-0.281 [-0.368, -0.189]","-0.248 [-0.318, -0.180]","—"
"N","γ_N BulkDensity","-0.199 [-0.288, -0.106]","-0.262 [-0.332, -0.188]","—"
"N","γ_N PH","0.006 [-0.049, 0.061]","0.016 [-0.038, 0.069]","—"
"P","alpha_P","-2.613 [-2.973, -2.241]","-2.542 [-2.681, -2.402]","-2.610 [-2.976, -2.236]"
"P","tau_alpha_P","0.389 [0.292, 0.509]","0.462 [0.365, 0.588]","0.388 [0.291, 0.510]"
"P","tau_beta_P","0.094 [0.012, 0.189]","0.113 [0.020, 0.204]","0.095 [0.012, 0.191]"
"P","rho_P","0.478 [-0.290, 0.875]","0.561 [-0.104, 0.892]","0.478 [-0.283, 0.873]"
"P","sigma_P","0.548 [0.502, 0.601]","0.546 [0.499, 0.600]","0.548 [0.501, 0.601]"
"P","γ_P logBottom","-0.071 [-0.155, 0.014]","-0.051 [-0.132, 0.033]","—"
"P","γ_P Texture2","-0.069 [-0.215, 0.077]","-0.134 [-0.254, -0.013]","—"
"P","γ_P BulkDensity","-0.141 [-0.292, 0.013]","-0.205 [-0.335, -0.074]","—"
"P","γ_P PH","0.022 [-0.069, 0.112]","0.059 [-0.031, 0.151]","—"
