"Risposta","Parametro","M-SP-RIRS-MVRE","A (ridotto)","B (resp-spec)"
"SOC","alpha_SOC","-0.190 [-0.500, 0.135]","-0.117 [-0.222, -0.011]","-0.201 [-0.522, 0.127]"
"SOC","tau_alpha_SOC","0.327 [0.234, 0.436]","0.336 [0.249, 0.442]","0.333 [0.239, 0.450]"
"SOC","tau_beta_SOC","0.215 [0.106, 0.317]","0.228 [0.135, 0.325]","0.221 [0.118, 0.322]"
"SOC","rho_SOC","0.519 [0.119, 0.795]","0.585 [0.230, 0.822]","0.552 [0.164, 0.813]"
"SOC","sigma_SOC","0.524 [0.474, 0.581]","0.521 [0.474, 0.576]","0.521 [0.473, 0.579]"
"SOC","γ_SOC logBottom","-0.366 [-0.464, -0.270]","-0.384 [-0.478, -0.292]","—"
"SOC","γ_SOC Texture2","-0.503 [-0.640, -0.361]","-0.477 [-0.583, -0.370]","—"
"SOC","γ_SOC BulkDensity","-0.237 [-0.380, -0.085]","-0.179 [-0.286, -0.072]","—"
"SOC","γ_SOC PH","-0.032 [-0.122, 0.055]","-0.008 [-0.097, 0.078]","—"
"N","alpha_N","-2.556 [-2.770, -2.336]","-2.439 [-2.506, -2.372]","-2.577 [-2.795, -2.356]"
"N","tau_alpha_N","0.211 [0.150, 0.287]","0.210 [0.150, 0.282]","0.211 [0.145, 0.287]"
"N","tau_beta_N","0.148 [0.080, 0.214]","0.155 [0.086, 0.223]","— (solo RI in B)"
"N","rho_N","-0.148 [-0.495, 0.235]","-0.039 [-0.409, 0.326]","— (solo RI in B)"
"N","sigma_N","0.316 [0.286, 0.351]","0.318 [0.288, 0.355]","0.346 [0.318, 0.380]"
"N","γ_N logBottom","-0.210 [-0.272, -0.148]","-0.188 [-0.247, -0.129]","—"
"N","γ_N Texture2","-0.284 [-0.371, -0.195]","-0.245 [-0.313, -0.180]","—"
"N","γ_N BulkDensity","-0.179 [-0.270, -0.084]","-0.255 [-0.326, -0.179]","—"
"N","γ_N PH","0.003 [-0.052, 0.058]","0.014 [-0.041, 0.069]","—"
"P","alpha_P","-2.623 [-2.992, -2.249]","-2.542 [-2.684, -2.404]","-2.602 [-2.980, -2.231]"
"P","tau_alpha_P","0.396 [0.297, 0.520]","0.476 [0.374, 0.610]","0.397 [0.299, 0.520]"
"P","tau_beta_P","0.085 [0.009, 0.185]","0.097 [0.012, 0.197]","0.083 [0.009, 0.185]"
"P","rho_P","0.295 [-0.291, 0.705]","0.364 [-0.218, 0.741]","0.315 [-0.312, 0.738]"
"P","sigma_P","0.551 [0.504, 0.605]","0.549 [0.501, 0.603]","0.551 [0.503, 0.604]"
"P","γ_P logBottom","-0.075 [-0.160, 0.010]","-0.055 [-0.134, 0.027]","—"
"P","γ_P Texture2","-0.068 [-0.213, 0.077]","-0.119 [-0.241, 0.001]","—"
"P","γ_P BulkDensity","-0.122 [-0.278, 0.033]","-0.196 [-0.323, -0.063]","—"
"P","γ_P PH","0.016 [-0.074, 0.105]","0.049 [-0.044, 0.142]","—"
