"variable","label","med_full","q05_full","q95_full","med_ni","q05_ni","q95_ni","diff_abs","flag"
"alpha_SOC","alpha_SOC",-0.19,-0.5,0.135,-0.157,-0.444,0.128,0.033,"OK"
"tau_alpha_SOC","tau_alpha_SOC",0.327,0.234,0.436,0.31,0.233,0.405,0.017,"OK"
"tau_beta_SOC","tau_beta_SOC",0.215,0.106,0.317,0.222,0.139,0.311,0.007,"OK"
"rho_SOC","rho_SOC",0.519,0.119,0.795,0.526,0.169,0.77,0.007,"OK"
"sigma_SOC","sigma_SOC",0.524,0.474,0.581,0.416,0.376,0.463,0.108,"ATTENZIONE"
"alpha_N","alpha_N",-2.556,-2.77,-2.336,-2.496,-2.675,-2.313,0.06,"nota"
"tau_alpha_N","tau_alpha_N",0.211,0.15,0.287,0.177,0.124,0.242,0.034,"OK"
"tau_beta_N","tau_beta_N",0.148,0.08,0.214,0.088,0.022,0.145,0.06,"nota"
"rho_N","rho_N",-0.148,-0.495,0.235,0.098,-0.356,0.524,0.246,"nota"
"sigma_N","sigma_N",0.316,0.286,0.351,0.26,0.234,0.29,0.056,"ATTENZIONE"
"alpha_P","alpha_P",-2.623,-2.992,-2.249,-2.62,-2.983,-2.259,0.003,"OK"
"tau_alpha_P","tau_alpha_P",0.396,0.297,0.52,0.405,0.308,0.526,0.009,"OK"
"tau_beta_P","tau_beta_P",0.085,0.009,0.185,0.146,0.03,0.25,0.061,"nota"
"rho_P","rho_P",0.295,-0.291,0.705,0.377,-0.106,0.72,0.082,"nota"
"sigma_P","sigma_P",0.551,0.504,0.605,0.496,0.448,0.55,0.055,"ATTENZIONE"
"gamma_SOC[1]","γ_SOC logBottom",-0.366,-0.464,-0.27,-0.379,-0.465,-0.291,0.013,"OK"
"gamma_SOC[3]","γ_SOC Texture2",-0.503,-0.64,-0.361,-0.436,-0.565,-0.311,0.067,"nota"
"gamma_SOC[4]","γ_SOC BulkDensity",-0.237,-0.38,-0.085,-0.266,-0.394,-0.136,0.029,"OK"
"gamma_SOC[5]","γ_SOC PH",-0.032,-0.122,0.055,-0.044,-0.123,0.034,0.012,"OK"
"gamma_N[1]","γ_N logBottom",-0.21,-0.272,-0.148,-0.241,-0.289,-0.195,0.031,"OK"
"gamma_N[3]","γ_N Texture2",-0.284,-0.371,-0.195,-0.232,-0.308,-0.157,0.052,"nota"
"gamma_N[4]","γ_N BulkDensity",-0.179,-0.27,-0.084,-0.204,-0.282,-0.123,0.025,"OK"
"gamma_N[5]","γ_N PH",0.003,-0.052,0.058,0.029,-0.018,0.076,0.026,"OK"
"gamma_P[1]","γ_P logBottom",-0.075,-0.16,0.01,-0.069,-0.154,0.02,0.006,"OK"
"gamma_P[3]","γ_P Texture2",-0.068,-0.213,0.077,-0.05,-0.203,0.102,0.018,"OK"
"gamma_P[4]","γ_P BulkDensity",-0.122,-0.278,0.033,-0.206,-0.362,-0.046,0.084,"nota"
"gamma_P[5]","γ_P PH",0.016,-0.074,0.105,0.057,-0.036,0.148,0.041,"OK"
"beta_SOC[1]","β_SOC OnFarm",-0.137,-0.528,0.274,-0.037,-0.387,0.324,0.1,"nota"
"beta_SOC[2]","β_SOC Irrigate",0.26,0.022,0.496,0.32,0.1,0.539,0.06,"nota"
"beta_N[1]","β_N OnFarm",0.294,0.037,0.567,0.272,0.062,0.499,0.022,"OK"
"beta_N[2]","β_N Irrigate",-0.146,-0.303,0.009,-0.065,-0.197,0.073,0.081,"nota"
"beta_P[1]","β_P OnFarm",0.684,0.239,1.129,0.593,0.151,1.037,0.091,"nota"
"beta_P[2]","β_P Irrigate",0.404,0.121,0.683,0.35,0.052,0.629,0.054,"nota"
