"risposta","covariata","median","sd","q5","q95"
"SOC","Fertilised",0.011,0.183,-0.293,0.305
"SOC","Irrigate",0.26,0.144,0.022,0.496
"SOC","N_Natural",0.012,0.242,-0.392,0.402
"SOC","OnFarm",-0.137,0.245,-0.528,0.274
"N","Fertilised",-0.116,0.119,-0.316,0.074
"N","Irrigate",-0.146,0.095,-0.303,0.009
"N","N_Natural",0.176,0.167,-0.108,0.447
"N","OnFarm",0.294,0.162,0.037,0.567
"P","Fertilised",-0.346,0.209,-0.683,0.002
"P","Irrigate",0.404,0.171,0.121,0.683
"P","N_Natural",-0.096,0.28,-0.555,0.365
"P","OnFarm",0.684,0.272,0.239,1.129
