"risposta","covariata","median","sd","q5","q95"
"SOC","BulkDensity",-0.237,0.09,-0.38,-0.085
"SOC","Texture1 (ILR1)",-0.06,0.051,-0.143,0.024
"SOC","Texture2 (ILR2)",-0.503,0.085,-0.64,-0.361
"SOC","logBottom",-0.366,0.059,-0.464,-0.27
"SOC","pH",-0.032,0.054,-0.122,0.055
"N","BulkDensity",-0.179,0.057,-0.27,-0.084
"N","Texture1 (ILR1)",-0.024,0.033,-0.078,0.03
"N","Texture2 (ILR2)",-0.284,0.054,-0.371,-0.195
"N","logBottom",-0.21,0.038,-0.272,-0.148
"N","pH",0.003,0.034,-0.052,0.058
"P","BulkDensity",-0.122,0.095,-0.278,0.033
"P","Texture1 (ILR1)",0.004,0.05,-0.079,0.088
"P","Texture2 (ILR2)",-0.068,0.088,-0.213,0.077
"P","logBottom",-0.075,0.052,-0.16,0.01
"P","pH",0.016,0.055,-0.074,0.105
