"variable","median","mean","sd","q5","q95","rhat","ess_bulk"
"alpha_SOC",-0.19,-0.187,0.193,-0.5,0.135,1,5959.821
"tau_alpha_SOC",0.327,0.331,0.063,0.234,0.436,1,6171.913
"tau_beta_SOC",0.215,0.213,0.065,0.106,0.317,1.001,3707.005
"rho_SOC",0.519,0.496,0.211,0.119,0.795,1,6481.452
"sigma_SOC",0.524,0.525,0.033,0.474,0.581,1.001,6297.001
"alpha_N",-2.556,-2.556,0.133,-2.77,-2.336,1,5678.513
"tau_alpha_N",0.211,0.213,0.042,0.15,0.287,1.001,6617.763
"tau_beta_N",0.148,0.147,0.041,0.08,0.214,1.001,3467.62
"rho_N",-0.148,-0.141,0.224,-0.495,0.235,1,10075.268
"sigma_N",0.316,0.317,0.02,0.286,0.351,1,7005.226
"alpha_P",-2.623,-2.621,0.225,-2.992,-2.249,1,6671.554
"tau_alpha_P",0.396,0.401,0.069,0.297,0.52,1.001,7282.765
"tau_beta_P",0.085,0.089,0.055,0.009,0.185,1,5477.351
"rho_P",0.295,0.263,0.304,-0.291,0.705,1,11388.084
"sigma_P",0.551,0.552,0.031,0.504,0.605,1,13867.022
"gamma_SOC[1]",-0.366,-0.366,0.059,-0.464,-0.27,1.002,7182.417
"gamma_SOC[2]",-0.06,-0.06,0.051,-0.143,0.024,1,9146.546
"gamma_SOC[3]",-0.503,-0.502,0.085,-0.64,-0.361,1,6529.886
"gamma_SOC[4]",-0.237,-0.235,0.09,-0.38,-0.085,1.001,5259.948
"gamma_SOC[5]",-0.032,-0.033,0.054,-0.122,0.055,1,9459.559
"gamma_N[1]",-0.21,-0.21,0.038,-0.272,-0.148,1,8038.685
"gamma_N[2]",-0.024,-0.024,0.033,-0.078,0.03,1,8258.201
"gamma_N[3]",-0.284,-0.283,0.054,-0.371,-0.195,1,6976.703
"gamma_N[4]",-0.179,-0.178,0.057,-0.27,-0.084,1,6761.362
"gamma_N[5]",0.003,0.003,0.034,-0.052,0.058,1,11767.225
"gamma_P[1]",-0.075,-0.075,0.052,-0.16,0.01,1.001,10677.868
"gamma_P[2]",0.004,0.004,0.05,-0.079,0.088,1,12980.131
"gamma_P[3]",-0.068,-0.068,0.088,-0.213,0.077,1,8698.262
"gamma_P[4]",-0.122,-0.123,0.095,-0.278,0.033,1,8318.211
"gamma_P[5]",0.016,0.016,0.055,-0.074,0.105,1,13893.393
"beta_SOC[1]",-0.137,-0.133,0.245,-0.528,0.274,1.001,5031.969
"beta_SOC[2]",0.26,0.259,0.144,0.022,0.496,1,6238.232
"beta_SOC[3]",0.011,0.009,0.183,-0.293,0.305,1.001,5709.164
"beta_SOC[4]",0.012,0.009,0.242,-0.392,0.402,1.001,5550.193
"beta_N[1]",0.294,0.296,0.162,0.037,0.567,1.001,5813.479
"beta_N[2]",-0.146,-0.146,0.095,-0.303,0.009,1,6835.425
"beta_N[3]",-0.116,-0.118,0.119,-0.316,0.074,1,6859.405
"beta_N[4]",0.176,0.173,0.167,-0.108,0.447,1,5600.396
"beta_P[1]",0.684,0.686,0.272,0.239,1.129,1,6210.683
"beta_P[2]",0.404,0.404,0.171,0.121,0.683,1,7774.715
"beta_P[3]",-0.346,-0.344,0.209,-0.683,0.002,1,6750.941
"beta_P[4]",-0.096,-0.095,0.28,-0.555,0.365,1,6394.978
"rho_int_SOC_N",0.386,0.373,0.192,0.038,0.667,1.001,5726.225
"rho_int_SOC_P",0.112,0.11,0.196,-0.219,0.428,1.001,5261.979
"rho_int_N_P",0.052,0.05,0.2,-0.283,0.376,1.001,7422.488
"rho_slope_SOC_N",0.289,0.276,0.247,-0.152,0.655,1,5936.638
"rho_slope_SOC_P",0.114,0.099,0.312,-0.442,0.589,1,12346.502
"rho_slope_N_P",-0.139,-0.122,0.307,-0.603,0.41,1,14061.656
