"variable","median","mean","sd","q5","q95","rhat","ess_bulk"
"alpha_SOC",-0.19,-0.187,0.193,-0.5,0.135,1,5959.821
"tau_alpha_SOC",0.327,0.331,0.063,0.234,0.436,1,6171.913
"tau_beta_SOC",0.215,0.213,0.065,0.106,0.317,1.001,3707.005
"rho_SOC",0.519,0.496,0.211,0.119,0.795,1,6481.452
"sigma_SOC",0.524,0.525,0.033,0.474,0.581,1.001,6297.001
"alpha_N",-2.556,-2.556,0.133,-2.77,-2.336,1,5678.513
"tau_alpha_N",0.211,0.213,0.042,0.15,0.287,1.001,6617.763
"tau_beta_N",0.148,0.147,0.041,0.08,0.214,1.001,3467.62
"rho_N",-0.148,-0.141,0.224,-0.495,0.235,1,10075.268
"sigma_N",0.316,0.317,0.02,0.286,0.351,1,7005.226
"alpha_P",-2.623,-2.621,0.225,-2.992,-2.249,1,6671.554
"tau_alpha_P",0.396,0.401,0.069,0.297,0.52,1.001,7282.765
"tau_beta_P",0.085,0.089,0.055,0.009,0.185,1,5477.351
"rho_P",0.295,0.263,0.304,-0.291,0.705,1,11388.084
"sigma_P",0.551,0.552,0.031,0.504,0.605,1,13867.022
"rho_int_SOC_N",0.386,0.373,0.192,0.038,0.667,1.001,5726.225
"rho_int_SOC_P",0.112,0.11,0.196,-0.219,0.428,1.001,5261.979
"rho_int_N_P",0.052,0.05,0.2,-0.283,0.376,1.001,7422.488
"rho_slope_SOC_N",0.289,0.276,0.247,-0.152,0.655,1,5936.638
"rho_slope_SOC_P",0.114,0.099,0.312,-0.442,0.589,1,12346.502
"rho_slope_N_P",-0.139,-0.122,0.307,-0.603,0.41,1,14061.656
